s1	s6	s0
AHN	2013-07-27	18
AHN	2013-07-28	22
AHN	2013-07-29	20
AHN	2013-07-30	16
AHN	2013-07-31	34
AHN	2013-08-01	24
AHN	2013-08-02	18
AHN	2013-08-03	18
AHN	2013-08-04	26
AHN	2013-08-05	22
AHN	2013-08-06	12
AHN	2013-08-07	14
AHN	2013-08-08	24
AHN	2013-08-09	20
AHN	2013-08-10	18
AHN	2013-08-11	34
AHN	2013-08-12	44
AHN	2013-08-13	10
AHN	2013-08-14	30
AHN	2013-08-15	22
AHN	2013-08-16	18
AHN	2013-08-17	20
AHN	2013-08-18	22
AHN	2013-08-19	24
AHN	2013-08-20	24
AHN	2013-08-21	30
AHN	2013-08-22	26
AHN	2013-08-23	12
AHN	2013-08-24	26
AHN	2013-08-25	24
AHN	2013-08-26	30
AHN	2013-08-27	16
AHN	2013-08-28	16
AHN	2013-08-29	30
AHN	2013-08-30	22
AHN	2013-08-31	20
AHN	2013-09-01	14
AHN	2013-09-02	32
AHN	2013-09-03	20
AHN	2013-09-04	10
AHN	2013-09-05	28
AHN	2013-09-06	14
AHN	2013-09-07	14
AHN	2013-09-08	18
AHN	2013-09-09	34
AHN	2013-09-10	16
AHN	2013-09-11	24
AHN	2013-09-12	26
AHN	2013-09-13	30
AHN	2013-09-14	22
AHN	2013-09-15	32
AHN	2013-09-16	34
AHN	2013-09-17	20
AHN	2013-09-18	24
AHN	2013-09-19	22
AHN	2013-09-20	22
AHN	2013-09-21	22
AHN	2013-09-22	14
AHN	2013-09-23	16
AHN	2013-09-24	24
AHN	2013-09-25	16
AHN	2013-09-26	20
AHN	2013-09-27	32
AHN	2013-09-28	20
AHN	2013-09-29	18
AHN	2013-09-30	30
AHN	2013-10-01	16
AHN	2013-10-02	22
AHN	2013-10-03	30
AHN	2013-10-04	44
AHN	2013-10-05	20
AHN	2013-10-06	32
AHN	2013-10-07	24
AHN	2013-10-08	34
AHN	2013-10-09	28
AHN	2013-10-10	24
AHN	2013-10-11	24
AHN	2013-10-12	16
AHN	2013-10-13	16
AHN	2013-10-14	16
AHN	2013-10-15	38
AHN	2013-10-16	26
AHN	2013-10-17	16
AHN	2013-10-18	20
AHN	2013-10-19	26
AHN	2013-10-20	14
AHN	2013-10-21	20
AHN	2013-10-22	22
AHN	2013-10-23	24
AHN	2013-10-24	28
AHN	2013-10-25	20
AHN	2013-10-26	20
AHN	2013-10-27	26
AHN	2013-10-28	30
AHN	2013-10-29	16
AHN	2013-10-30	22
AHN	2013-10-31	34
AHN	2013-11-01	18
AHN	2013-11-02	20
AHN	2013-11-03	26
AHN	2013-11-04	30
AHN	2013-11-05	20
AHN	2013-11-06	28
AHN	2013-11-07	14
AHN	2013-11-08	24
AHN	2013-11-09	26
AHN	2013-11-10	12
AHN	2013-11-11	20
AHN	2013-11-12	20
AHN	2013-11-13	12
AHN	2013-11-14	12
AHN	2013-11-15	22
AHN	2013-11-16	34
AHN	2013-11-17	20
AHN	2013-11-18	24
AHN	2013-11-19	26
AHN	2013-11-20	18
AHN	2013-11-21	16
AHN	2013-11-22	26
AHN	2013-11-23	30
AHN	2013-11-24	22
AHN	2013-11-25	22
AHN	2013-11-26	36
AHN	2013-11-27	18
AHN	2013-11-28	20
AHN	2013-11-29	14
AHN	2013-11-30	22
AHN	2013-12-01	20
AHN	2013-12-02	34
AHN	2013-12-03	36
AHN	2013-12-04	30
AHN	2013-12-05	20
AHN	2013-12-06	34
AHN	2013-12-07	24
AHN	2013-12-08	34
