s1	s6	s0
AHN	2012-11-16	616
AHN	2012-11-17	654
AHN	2012-11-18	626
AHN	2012-11-19	836
AHN	2012-11-20	686
AHN	2012-11-21	690
AHN	2012-11-22	700
AHN	2012-11-23	654
AHN	2012-11-24	578
AHN	2012-11-25	630
AHN	2012-11-26	658
AHN	2012-11-27	568
AHN	2012-11-28	646
AHN	2012-11-29	670
AHN	2012-11-30	616
AHN	2012-12-01	624
AHN	2012-12-02	624
AHN	2012-12-03	696
AHN	2012-12-04	668
AHN	2012-12-05	626
AHN	2012-12-06	628
AHN	2012-12-07	642
AHN	2012-12-08	694
AHN	2012-12-09	638
AHN	2012-12-10	790
AHN	2012-12-11	780
AHN	2012-12-12	728
AHN	2012-12-13	714
AHN	2012-12-14	760
AHN	2012-12-15	654
AHN	2012-12-16	730
AHN	2012-12-17	848
AHN	2012-12-18	714
AHN	2012-12-19	610
AHN	2012-12-20	640
AHN	2012-12-21	692
AHN	2012-12-22	570
AHN	2012-12-23	568
AHN	2012-12-24	626
AHN	2012-12-25	674
AHN	2012-12-26	784
AHN	2012-12-27	686
AHN	2012-12-28	688
AHN	2012-12-29	610
AHN	2012-12-30	608
AHN	2012-12-31	658
AHN	2013-01-01	608
AHN	2013-01-02	820
AHN	2013-01-03	712
AHN	2013-01-04	666
AHN	2013-01-05	680
AHN	2013-01-06	708
AHN	2013-01-07	842
AHN	2013-01-08	764
AHN	2013-01-09	816
AHN	2013-01-10	688
AHN	2013-01-11	712
AHN	2013-01-12	722
AHN	2013-01-13	790
AHN	2013-01-14	762
AHN	2013-01-15	748
AHN	2013-01-16	814
AHN	2013-01-17	792
AHN	2013-01-18	752
AHN	2013-01-19	686
AHN	2013-01-20	812
AHN	2013-01-21	868
AHN	2013-01-22	790
AHN	2013-01-23	708
AHN	2013-01-24	740
AHN	2013-01-25	794
AHN	2013-01-26	660
AHN	2013-01-27	750
AHN	2013-01-28	824
AHN	2013-01-29	780
AHN	2013-01-30	746
AHN	2013-01-31	778
AHN	2013-02-01	746
AHN	2013-02-02	708
AHN	2013-02-03	726
AHN	2013-02-04	864
AHN	2013-02-05	704
AHN	2013-02-06	724
AHN	2013-02-07	712
AHN	2013-02-08	644
AHN	2013-02-09	524
AHN	2013-02-10	500
AHN	2013-02-11	728
AHN	2013-02-12	782
AHN	2013-02-13	740
AHN	2013-02-14	632
AHN	2013-02-15	666
AHN	2013-02-16	612
AHN	2013-02-17	650
AHN	2013-02-18	700
AHN	2013-02-19	716
AHN	2013-02-20	648
AHN	2013-02-21	690
AHN	2013-02-22	638
AHN	2013-02-23	596
AHN	2013-02-24	642
AHN	2013-02-25	782
AHN	2013-02-26	744
AHN	2013-02-27	780
AHN	2013-02-28	642
AHN	2013-03-01	654
AHN	2013-03-02	594
AHN	2013-03-03	582
AHN	2013-03-04	780
AHN	2013-03-05	720
AHN	2013-03-06	684
AHN	2013-03-07	780
AHN	2013-03-08	718
AHN	2013-03-09	694
AHN	2013-03-10	728
AHN	2013-03-11	798
AHN	2013-03-12	704
AHN	2013-03-13	744
AHN	2013-03-14	666
AHN	2013-03-15	712
AHN	2013-03-16	630
AHN	2013-03-17	724
AHN	2013-03-18	756
AHN	2013-03-19	650
AHN	2013-03-20	666
AHN	2013-03-21	698
AHN	2013-03-22	718
AHN	2013-03-23	698
AHN	2013-03-24	664
AHN	2013-03-25	670
AHN	2013-03-26	634
AHN	2013-03-27	622
AHN	2013-03-28	592
AHN	2013-03-29	724
AHN	2013-03-30	584
AHN	2013-03-31	720
AHN	2013-04-01	780
AHN	2013-04-02	750
AHN	2013-04-03	632
AHN	2013-04-04	704
AHN	2013-04-05	722
AHN	2013-04-06	542
AHN	2013-04-07	766
AHN	2013-04-08	830
AHN	2013-04-09	816
AHN	2013-04-10	706
AHN	2013-04-11	696
AHN	2013-04-12	670
AHN	2013-04-13	632
AHN	2013-04-14	792
AHN	2013-04-15	848
AHN	2013-04-16	810
AHN	2013-04-17	698
AHN	2013-04-18	770
AHN	2013-04-19	714
AHN	2013-04-20	670
AHN	2013-04-21	720
AHN	2013-04-22	788
AHN	2013-04-23	730
AHN	2013-04-24	786
AHN	2013-04-25	704
AHN	2013-04-26	688
AHN	2013-04-27	750
AHN	2013-04-28	768
AHN	2013-04-29	862
AHN	2013-04-30	688
AHN	2013-05-01	682
AHN	2013-05-02	816
AHN	2013-05-03	678
AHN	2013-05-04	658
AHN	2013-05-05	706
AHN	2013-05-06	872
AHN	2013-05-07	736
AHN	2013-05-08	656
AHN	2013-05-09	704
AHN	2013-05-10	680
AHN	2013-05-11	682
AHN	2013-05-12	700
AHN	2013-05-13	782
AHN	2013-05-14	704
AHN	2013-05-15	748
AHN	2013-05-16	654
AHN	2013-05-17	750
AHN	2013-05-18	726
AHN	2013-05-19	766
AHN	2013-05-20	814
AHN	2013-05-21	776
AHN	2013-05-22	660
AHN	2013-05-23	778
AHN	2013-05-24	716
AHN	2013-05-25	638
AHN	2013-05-26	666
AHN	2013-05-27	756
AHN	2013-05-28	724
AHN	2013-05-29	750
AHN	2013-05-30	712
AHN	2013-05-31	762
AHN	2013-06-01	748
AHN	2013-06-02	634
AHN	2013-06-03	834
AHN	2013-06-04	730
AHN	2013-06-05	698
AHN	2013-06-06	764
AHN	2013-06-07	678
AHN	2013-06-08	666
AHN	2013-06-09	752
AHN	2013-06-10	828
AHN	2013-06-11	644
AHN	2013-06-12	684
AHN	2013-06-13	810
AHN	2013-06-14	640
AHN	2013-06-15	648
AHN	2013-06-16	692
AHN	2013-06-17	766
AHN	2013-06-18	708
AHN	2013-06-19	746
AHN	2013-06-20	684
AHN	2013-06-21	772
AHN	2013-06-22	710
AHN	2013-06-23	718
AHN	2013-06-24	736
AHN	2013-06-25	740
AHN	2013-06-26	746
AHN	2013-06-27	814
AHN	2013-06-28	734
AHN	2013-06-29	696
AHN	2013-06-30	752
AHN	2013-07-01	742
AHN	2013-07-02	834
AHN	2013-07-03	818
AHN	2013-07-04	804
AHN	2013-07-05	764
AHN	2013-07-06	718
AHN	2013-07-07	730
AHN	2013-07-08	786
AHN	2013-07-09	710
AHN	2013-07-10	694
AHN	2013-07-11	778
AHN	2013-07-12	718
AHN	2013-07-13	704
AHN	2013-07-14	650
AHN	2013-07-15	812
AHN	2013-07-16	704
AHN	2013-07-17	654
AHN	2013-07-18	756
AHN	2013-07-19	728
AHN	2013-07-20	670
AHN	2013-07-21	716
AHN	2013-07-22	794
AHN	2013-07-23	750
AHN	2013-07-24	742
AHN	2013-07-25	638
AHN	2013-07-26	670
AHN	2013-07-27	670
AHN	2013-07-28	746
AHN	2013-07-29	792
AHN	2013-07-30	696
AHN	2013-07-31	656
AHN	2013-08-01	664
AHN	2013-08-02	656
AHN	2013-08-03	640
AHN	2013-08-04	686
AHN	2013-08-05	828
AHN	2013-08-06	788
AHN	2013-08-07	714
AHN	2013-08-08	702
AHN	2013-08-09	750
AHN	2013-08-10	660
AHN	2013-08-11	710
AHN	2013-08-12	814
AHN	2013-08-13	706
AHN	2013-08-14	626
AHN	2013-08-15	694
AHN	2013-08-16	676
AHN	2013-08-17	666
AHN	2013-08-18	672
AHN	2013-08-19	742
AHN	2013-08-20	742
AHN	2013-08-21	646
AHN	2013-08-22	662
AHN	2013-08-23	726
AHN	2013-08-24	644
AHN	2013-08-25	706
AHN	2013-08-26	834
AHN	2013-08-27	726
